Timestamp	Is it Dad Rock? [Queen – "We Will Rock You"]	Is it Dad Rock? [The Rolling Stones – "Start Me Up"]	Is it Dad Rock? [U2 – "With or Without You"]	Is it Dad Rock? [Bon Jovi – "Livin' on a Prayer"]	Is it Dad Rock? [Imagine Dragons – "Radioactive"]	Is it Dad Rock? [The Killers – "Mr. Brightside"]	Is it Dad Rock? [Stereophonics – "Dakota"]	Is it Dad Rock? [Hozier – "Take Me to Church"]	Is it Dad Rock? [Nickelback – "Rockstar"]	Is it Dad Rock? [Lynyrd Skynyrd – "Sweet Home Alabama"]	Is it Dad Rock? [Boston – "More Than a Feeling"]	Is it Dad Rock? [Blue Oyster Cult – "(Don't Fear) The Reaper"]	Is it Dad Rock? [Meat Loaf – "Bat Out of Hell"]	Is it Dad Rock? [Motorhead – "Ace of Spades"]	Is it Dad Rock? [The Clash – "Should I Stay or Should I Go"]	Is it Dad Rock? [The Jam – "Town Called Malice"]	Is it Dad Rock? [Spin Doctors – "Two Princes"]	Is it Dad Rock? [Scouting for Girls – "She's So Lovely"]	Is it Dad Rock? [The Fratellis – "Chelsea Dagger"]	Is it Dad Rock? [Primal Scream – "Rocks"]	Is it Dad Rock? [Toto – "Africa"]	Is it Dad Rock? [Simple Minds – "Don't You (Forget About Me)"]	Is it Dad Rock? [The La's – "There She Goes"]	Is it Dad Rock? [The Stone Roses – "I Wanna Be Adored"]	Is it Dad Rock? [Keane – "Everybody's Changing"]	Is it Dad Rock? [The Fray – "How to Save a Life"]	Is it Dad Rock? [James Bay – "Hold Back the River"]	Is it Dad Rock? [The Lumineers – "Ho Hey"]	Is it Dad Rock? [Free – "All Right Now"]	Is it Dad Rock? [Deep Purple – "Smoke on the Water"]	Is it Dad Rock? [Iggy and the Stooges – "Search and Destroy"]	Is it Dad Rock? [Lenny Kravitz – "Are You Gonna Go My Way"]	Is it Dad Rock? [RUN-DMC feat. Aerosmith – "Walk This Way"]	Is it Dad Rock? [Beastie Boys – "(You Gotta) Fight for Your Right (To Party)"]	Is it Dad Rock? [Fountains of Wayne – "Stacy's Mom"]	Is it Dad Rock? [Feeder – "Buck Rogers"]	Is it Dad Rock? [Blink-182 – "All the Small Things"]	Is it Dad Rock? [Kiss – "Crazy Crazy Nights"]	Is it Dad Rock? [Robert Palmer – "Addicted to Love"]	Is it Dad Rock? [Europe – "The Final Countdown"]	Is it Dad Rock? [Wheatus – "Teenage Dirtbag"]	Is it Dad Rock? [MGMT – "Kids"]	Is it Dad Rock? [Sum 41 – "In Too Deep"]	Is it Dad Rock? [Razorlight – "America"]	Is it Dad Rock? [Avril Lavigne – "Complicated"]	Is it Dad Rock? [Natalie Imbruglia – "Torn"]	Is it Dad Rock? [The 1975 – "The Sound"]	Is it Dad Rock? [Bastille – "Pompeii"]	Is it Dad Rock? [The Kooks – "Naive"]	Is it Dad Rock? [Deep Blue Somethings – "Breakfast at Tiffany's"]	Is it Dad Rock? [Bachman-Turner Overdrive – "You Ain't Seen Nothing Yet"]	Is it Dad Rock? [Eric Clapton – "I Shot the Sheriff"]	Is it Dad Rock? [REO Speedwagon – "Can't Fight This Feeling"]	Is it Dad Rock? [Rod Stewart – "Maggie May"]	Is it Dad Rock? [ZZ Top – "Sharp Dressed Man"]	Is it Dad Rock? [Steppenwolf – "Born to Be Wild"]	Is it Dad Rock? [Whitesnake – "Here I Go Again '87"]	Is it Dad Rock? [Survivor – "Eye of the Tiger"]	Is it Dad Rock? [Roxy Music – "Love Is the Drug"]	Are you a Dad?	What year were you born?
04/04/2021 12:45:04	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Not sure	Not sure	Not Dad Rock	Not Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	No	1990
04/04/2021 13:03:19	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	No	1994
04/04/2021 13:12:20	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	No	1989
04/04/2021 13:17:16	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock		1965
04/04/2021 13:18:23	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not sure	Not sure	Not Dad Rock	Dad Rock	Dad Rock	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Not sure		Dad Rock	Dad Rock	Dad Rock	Not sure	Not sure	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Dad Rock	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not sure	Yes	1964
04/04/2021 13:23:47	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not sure	Not sure	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not sure	Not sure	Not sure	Not Dad Rock	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Not sure	Not sure	Dad Rock	Not sure	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Not sure	No	1988
04/04/2021 13:28:18	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not sure	Not sure	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Not sure	Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Not sure	No	1994
04/04/2021 13:31:42	Dad Rock	Dad Rock																																																		Dad Rock								No	1993
04/04/2021 13:44:03	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	No	1993
04/04/2021 14:46:46	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Not sure	No	1994
04/04/2021 14:52:34	Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not sure	Not sure	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	No	1993
04/04/2021 15:14:26	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not sure	Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock					Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not sure		Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	No	1996
04/04/2021 18:16:18	Dad Rock	Dad Rock	Not sure	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	No	1987
04/04/2021 18:34:41	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	No	1990
04/04/2021 23:28:40	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	No	1987
05/04/2021 11:43:30	Dad Rock	Dad Rock	Not sure	Dad Rock	Not sure	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not sure	Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not sure	Not Dad Rock	Not Dad Rock	Not sure	Not sure	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Yes	1964
05/04/2021 14:11:59	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not sure	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Not sure	Not sure	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Yes	1958
05/04/2021 18:33:02	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Yes	1964
06/04/2021 11:06:14	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Not sure	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Dad Rock	Not sure	Yes	1990
06/04/2021 11:42:22	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	No	1990
07/04/2021 14:18:36	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock		Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Dad Rock	Not sure	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not sure	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Dad Rock	Not sure	Not sure	Dad Rock	Dad Rock	Not sure	Dad Rock	Not sure	No	1992
07/04/2021 23:44:25	Not Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Not Dad Rock	Dad Rock	Not sure	Not Dad Rock	Not sure	Not Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Dad Rock	Not Dad Rock	Yes	1987